   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100  142.341    1.423  142.341    1.423 {method 'update' of 'dict' objects}
        1    3.240    3.240    3.240    3.240 {method 'copy' of 'list' objects}
      301    0.037    0.000    0.037    0.000 {method 'append' of 'list' objects}
 14999999    1.936    0.000    1.936    0.000 {method 'bit_length' of 'int' objects}
      612    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
      204    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      408    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      612    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      204    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      816    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1023    0.002    0.000    0.025    0.000 {built-in method builtins.isinstance}
     1018    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      204    0.002    0.000    0.002    0.000 {built-in method builtins.max}
      300    1.370    0.005    1.375    0.005 {built-in method builtins.print}
      204    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
