function,time,version
iteration_test_tuple_50000000,0.5384087562561035,3.10.5
iteration_test_list_50000000,0.547351598739624,3.10.5
iteration_test_set_100000000,7.666912794113159,3.10.5
iteration_test_tuple_100000000,1.2202544212341309,3.10.5
iteration_test_list_100000000,1.201589822769165,3.10.5
iteration_test_set_1000000,0.025528430938720703,3.11.3
iteration_test_tuple_1000000,0.022028207778930664,3.11.3
iteration_test_list_1000000,0.030555009841918945,3.11.3
iteration_test_set_50000000,6.8524603843688965,3.11.3
iteration_test_tuple_50000000,0.9399900436401367,3.11.3
iteration_test_list_50000000,0.8828737735748291,3.11.3
iteration_test_set_100000000,29.314828157424927,3.11.3
iteration_test_tuple_100000000,3.420856475830078,3.11.3
iteration_test_list_100000000,1.6857712268829346,3.11.3
