function,amount,time_seconds,version
tuple_append,1000000,23.64199995994568,2.7.18
tuple_sort,1000000,0.025999784469604492,2.7.18
tuple_append,1000000,28.20299983024597,2.7.18
tuple_sort,1000000,0.020999908447265625,2.7.18
tuple_append,1000000,26.038000106811523,2.7.18
tuple_sort,1000000,0.02500009536743164,2.7.18
tuple_append,1000000,20.10599994659424,2.7.18
tuple_sort,1000000,0.021000146865844727,2.7.18
tuple_append,1000000,19.937999963760376,2.7.18
tuple_sort,1000000,0.029999971389770508,2.7.18
tuple_append,1000000,25.793999910354614,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,18.276999950408936,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,17.58999991416931,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,18.671000003814697,2.7.18
tuple_sort,1000000,0.023000001907348633,2.7.18
tuple_append,1000000,31.319999933242798,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,23.64199995994568,2.7.18
tuple_sort,1000000,0.025999784469604492,2.7.18
tuple_append,1000000,28.20299983024597,2.7.18
tuple_sort,1000000,0.020999908447265625,2.7.18
tuple_append,1000000,26.038000106811523,2.7.18
tuple_sort,1000000,0.02500009536743164,2.7.18
tuple_append,1000000,20.10599994659424,2.7.18
tuple_sort,1000000,0.021000146865844727,2.7.18
tuple_append,1000000,19.937999963760376,2.7.18
tuple_sort,1000000,0.029999971389770508,2.7.18
tuple_append,1000000,25.793999910354614,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,18.276999950408936,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,17.58999991416931,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,18.671000003814697,2.7.18
tuple_sort,1000000,0.023000001907348633,2.7.18
tuple_append,1000000,31.319999933242798,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,23.64199995994568,2.7.18
tuple_sort,1000000,0.025999784469604492,2.7.18
tuple_append,1000000,28.20299983024597,2.7.18
tuple_sort,1000000,0.020999908447265625,2.7.18
tuple_append,1000000,26.038000106811523,2.7.18
tuple_sort,1000000,0.02500009536743164,2.7.18
tuple_append,1000000,20.10599994659424,2.7.18
tuple_sort,1000000,0.021000146865844727,2.7.18
tuple_append,1000000,19.937999963760376,2.7.18
tuple_sort,1000000,0.029999971389770508,2.7.18
tuple_append,1000000,25.793999910354614,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,18.276999950408936,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,17.58999991416931,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,18.671000003814697,2.7.18
tuple_sort,1000000,0.023000001907348633,2.7.18
tuple_append,1000000,31.319999933242798,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,23.64199995994568,2.7.18
tuple_sort,1000000,0.025999784469604492,2.7.18
tuple_append,1000000,28.20299983024597,2.7.18
tuple_sort,1000000,0.020999908447265625,2.7.18
tuple_append,1000000,26.038000106811523,2.7.18
tuple_sort,1000000,0.02500009536743164,2.7.18
tuple_append,1000000,20.10599994659424,2.7.18
tuple_sort,1000000,0.021000146865844727,2.7.18
tuple_append,1000000,19.937999963760376,2.7.18
tuple_sort,1000000,0.029999971389770508,2.7.18
tuple_append,1000000,25.793999910354614,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,18.276999950408936,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,17.58999991416931,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,18.671000003814697,2.7.18
tuple_sort,1000000,0.023000001907348633,2.7.18
tuple_append,1000000,31.319999933242798,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,23.64199995994568,2.7.18
tuple_sort,1000000,0.025999784469604492,2.7.18
tuple_append,1000000,28.20299983024597,2.7.18
tuple_sort,1000000,0.020999908447265625,2.7.18
tuple_append,1000000,26.038000106811523,2.7.18
tuple_sort,1000000,0.02500009536743164,2.7.18
tuple_append,1000000,20.10599994659424,2.7.18
tuple_sort,1000000,0.021000146865844727,2.7.18
tuple_append,1000000,19.937999963760376,2.7.18
tuple_sort,1000000,0.029999971389770508,2.7.18
tuple_append,1000000,25.793999910354614,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,18.276999950408936,2.7.18
tuple_sort,1000000,0.018999814987182617,2.7.18
tuple_append,1000000,17.58999991416931,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
tuple_append,1000000,18.671000003814697,2.7.18
tuple_sort,1000000,0.023000001907348633,2.7.18
tuple_append,1000000,31.319999933242798,2.7.18
tuple_sort,1000000,0.02200007438659668,2.7.18
